32*(124-86)	1216
30*6.83	204.9
301/350	86%
3.6*5/4.5	4
	None
217/3.5*(3.5+4.5)	496
98.7-14.7+98.7	182.7
1092-389	703
	None
(5/8)/(4+1)	((1)/(8))
	None
	None
538/(1-(3/5))*(3/5)	807
402*8+6	3222
25+9+(25*2+10)	94
(110+120)*15	3450
32+(32+17)+25	106
825*(2/5)*(1+(1/11))	360
1-(1/5)	((4)/(5))
(320-168/6)*18	5256
(26+17)*25	1075
(2000-350*3)/2	475
40*40	1600
	None
36/40	90%
1/((7/13)+1)	((13)/(20))
(15*4)/(1-(3/5))	150
3.14*4*10	125.6
138/6-160/8	3
32*8+5	261
	None
1-((3/8)+(3/8))	((1)/(4))
(500-380)/5	24
5/(1-(1/7))/(1-(1/5))/(1-(1/3))	((175)/(16))
12.5*6.4*0.6	48
(960-240-83*4)/4	97
(2000+580)/2000	129%
	None
(124+125+126+127+1)*4	2012
	None
(2300-1700)/4	150
40/5	8
560/4-75	65
(2280-60*3)/(80+60)	15
6*4*42	1008
1999+999^2	1000000
125*111*5*8*4	2220000
100*(1-(1/5))	80
	None
3-2/6+5	7((2)/(3))
	None
1300-600*2	100
1.8*5+2.5*3	16.5
8-1	7
	None
480*60%+480*(1/8)	348
45-23	22
(85-58)*5	135
268/67	4
(35+37)*15	1080
(1/4)/5	((1)/(20))
18*21+16	394
(3/4)/(1+(3/4))	((3)/(7))
150/(1-(1/4)-(3/8))	400
(56*3-4)/(2/5)	410
	None
(40-34)/40	15%
40/(5/6)/(4/3)	36
936/26	36
	None
(360+300)/(360-300)	11
1200/30-1200/40	10
18/2-1	8
0.86/0.5	1.72
(20-15)/20	25%
360/40+1	10
900/5/9	20
35*(90+1)	3185
(324-240)/21	4
18/(1/3)*(2/9)	12
85*4/(85-17)	5
(6/7)*(7/15)/30	((1)/(75))
18*12	216
(3/5)+(5/8)-1	((9)/(40))
15*10*8-8*8*8	688
24/(13-5)	3
12/(10/3)	3.6
(300-250)/250	20%
	None
200*(1+(1/5))	240
4800/(1+(1/4))	3840
420/(1-(1/7))	490
1000-320*3	40
10+10*(1/5)	12
800*3-200	2200
((2/5)+(1/4))+(2/5)	((21)/(20))
36*(1/3)+6	18
(258-142)/4	29
75*6+1	451
36/7.2	5
6000*75%+6000	10500
7.3*4-(6.1+7.2+9.5)	6.4
12/(1/6)*(1-(1/6))	60
4*8*25	800
	None
	None
20*0.9	18
(123-3)/15	8
(50-2.3)/3	15.9
0.4/(4.2-0.4)	((2)/(19))
(650-128)/58	9
13-1-3	9
104/(4*2)	13
(1/3)+0.25	((7)/(12))
(17.4-1.8*3)/2.4	5
2000*8/3200	5
0.7*30	21
14*(56-1)/35+1	23
	None
30*(1/6)+82	87
(15-6)/15	((3)/(5))
1542-147-684	711
(120+90)*3.5	735
645-608/8	569
10-(4/5)*(3/4)	((47)/(5))
48*(5/6)+3	43
23/50	((23)/(50))
544-544*(5/8)	204
(25-10)+(12-3)-(39-20)	5
6*3*4	72
20.8/4	5.2
	None
40/(1-(3/8))	64
5*9+25	70
	None
290/(1-(1/6)-(1/6)*(5/7))	406
18*(2/3)/(5/4)	9.6
1/(1/5)	5
	None
4-(1/4)	3((3)/(4))
16*(3/8)/(1/3)	18
252/6	42
(2.5*(4/5)+10)/(6/7)	14
360/6	60
22/(11/20)	40
(88-16)/(1/5)	360
56/8+3.5	10.5
	None
9*3	27
100*((1)/(1+9))	10
	None
	None
120*(5/8)*(2/3)	50
	None
(75+95)*48	8160
840/14*32	1920
	None
360/2.4-80	70
(3/2)*(1/5)	((3)/(10))
(1/18)*9*(5/6)	((5)/(12))
(450-8)/26	17
300/4-40	35
(24.2+16.4)/14	2.9
720/(55-25)	24
40*30*15/8	2250
30/(670+30)	((3)/(70))
7+(7-0.75)+5.5	18.75
428/4	107
(840-640)/8	25
12*3*2	72
310-256/8	278
7.5/0.15	50
9-(9-6)/(1-(3/5))	1.5
250-(170+80)	0
3000*(5/6)	2500
(58-1)*5+58*4	517
(13*9+23)/4	35
40*30/50	24
225/(20-15)	45
(251-182)*(162+38)	13800
(128+52)*45	8100
1268-475-325	468
70.5*6.4	451.2
120*(3*2)	720
24*11+16	280
120+120*(1/6)+120	260
200*18*6	21600
(2/3)-((8/9)-(2/3))	((4)/(9))
12000/(3/5)	20000
2/((1/6)*2-(1/4))	24
	None
20*50/25	40
539+761	1300
25-(25*8-128)/(8+4)	19
	None
(396-66)/(22*10)	1.5
540*(20%+(1/8))	175.5
	None
36/(4/7)-36	27
112*12/84	16
192/6/4	8
(150-6*5)/5	24
40+25-55	10
	None
15/(0.35-0.2)	100
8*(1/10)	((8)/(10))
1500*(1+(1/5))	1800
234+432-4*8+330/5	700
(1-(3/4))/((3/4)/(1/2))	((1)/(6))
20/2-1	9
125+55	180
	None
720*(30/225)	96
80/(2/3)	120
(10-5)/(5-4)+1	6
39*4-17	139
(2.82+3.18)*10+3	63
	None
(1+1)/(1/3+1/6)	4
56*(1+2)	168
(867+231)/3	366
23*1000+1080	24080
(15-1)*20	280
150*3+50+150	650
(400*(3/4)-60)/(5/8)	384
	None
12.8*1.8	23.04
(0.3*4+4.8)/3	2
(360-300)/300	20%
6000/(59-35)	250
	None
2.4*(5/6)+2.4	4.4
	None
6*8	48
48*(1/8)	6
	None
360.64/14/8	3.22
(320-280)/320	12.5%
1075/(120+95)	5
324/9	36
3+(2.9-0.8)/0.3	10
500*(1-0.8)	100
3*(8/1-1)	21
660/(240+660)	((11)/(15))
80/((5)/(4+5))	144
	None
180*3.8/3.6	190
	None
	None
565-128+565	1002
840*(5/8)*(1/5)	105
54*6+20	344
108/18+1	7
0.32*8/(12-8)*12	7.68
(200-10)/(1+1)*5	475
1/((5/6)-(4/5))*(5/6)	25
10.2/3/4	0.85
(400*2+200*2)/2	600
	None
0.821*(15*4)	49.26
13*3.65	47.45
5*7+125	160
56*(1-(1/7))	48
4*2	8
4-(1/3)	3((2)/(3))
(10-1)*4	36
9998+998+99+9+6	11110
(20-4.4)/5.2	3
24*3*25	1800
16/(5-1)*(8-1)	28
63/(1+(2/7))	49
18.5*7+98.4	227.9
	None
25*7+4	179
	None
12*24/16	18
(15*4+38)/(3+4)	14
20/((4/5)-(8/15))*(4/5)	60
(168+48)/8	27
1400/(80+60)	10
(75*3+81*3)/(3+3)	78
40-(18+15-10)	17
(340+60)/(1-(2/5))	666((2)/(3))
1200+1200*(5/6)-50	2150
720/(40+32)	10
1-(1/6)-(1/6)	((2)/(3))
12*(1/2)	6
40*((1/8)+(3/10))	17
8/(32+8)	20%
	None
1/((2/5)/4)	10
40*1.2*(5/8)	30
	None
420*(1-25%-(3/5))	63
28*3+9	93
240/(1.5-1)	480
380*2+20	780
9.42/3.14	3
80/4+80	100
	None
1.1+0.2	1.3
(54-1.5*16)/5	6
(0.4*5+3)/2.5	2
336/8/6	7
5-(1/2)	4((1)/(2))
30/(1+(1/5))	25
1-(1/4)	((3)/(4))
45*14+28+45	703
18*7+45	171
1-(1/3)-(2/5)	((4)/(15))
123*(1+2)	369
0.015	((3)/(200))
120*14+60*5	1980
2.1/4+3.6*2.5	9.525
15-(28-15)	2
7436-945+7436	13927
(71.34+83.28)-(32.56+41.32)	80.74
	None
192/(3/4)	256
(240-60)/(60/1)	3
960/(18-2)	60
16/(4/5)	20
96+86-89	93
6000*6.135	36810
789-658	131
325.8/4.5	72.4
(20+25)/(5/9)	81
300/5*12	720
670-120-230	320
65*6+35	425
(50*3.5+56)/3.5	66
7+5	12
240/3*7	560
	None
42/(3/4)	56
0.65*10*(1/100)	0.065
12/(2/3)	18
	None
(52-3*8)/4	7
120/12-120/15	2
(540-180)/(180/3)	6
1080/(2/5)	2700
12*(1/3)	4
15*7	105
180*(1-(3/4))	45
80*4	320
	None
165*4	660
(1-(1/10)*3)/0.01	70
(7/15)+(3/15)	((2)/(3))
	None
(3/5)+(1/4)+(3/5)	((29)/(20))
60/(2/3)	90
(1/12)*3+(1/18)*3	((5)/(12))
5*800-3800	200
213*2+213	639
800/10-36	44
28/(2/9)	126
24/30	((4)/(5))
12*25/20	15
18/6	3
1-(1/6)-(1/6)	((2)/(3))
	None
653+247	900
	None
123*(20/41)	60
(480-120)/90	4
(5.6+3.8)*(5.6-3.8)	16.92
150-(140-90)	100
(70*20-1070)/(70+40)	3
42*10/7	60
32+26-(46-2)	14
	None
85/(5/7)-85	34
75*4+75	375
168/(27+1)	6
2530*((2)/(3+2))	1012
(400-154)/6	41
(10-2.4*3)/4	0.7
0.6*3-0.3	1.5
(30+120)*6	900
50-14.5*2	21
(1000-250)/(125*2-125)	6
40*3/2	60
28*8-128	96
6*3	18
7500/10-7500/15	250
420/(720/12)	7
(2/7)*5*3	((30)/(7))
6*8/2	24
	None
(620+10)/(7/8)	720
	None
27/(3/4)	36
(15*8)/(15*(2/3))	12
36/(((7)/(7+3+2))-((3)/(7+3+2)))	108
23*2+6+23	75
100*(1-(1/5))	80
2.5*1.2	3
	None
665*7	4655
0.47	47%
180-35*4	40
(720+900)/(28+26)	30
120*5/40	15
2400+15	2415
70/5+70/7-10.5	13.5
105%-1	5%
210/(3+4)*3	90
8400/(8400/30-40)	35
(150+230)*0.8*0.9	273.6
714/(48-6)	17
1554/37-24	18
62.5/2.5	25
300/(1-(2/5))	500
400/(4+6)	40
	None
(3/8)+(1/2)	((7)/(8))
500*(2/25)/(1/6)	240
305/5	61
21+18-36	3
162/(48+48*1.25)	1.5
80-(36+24)	20
56/(14-6)	7
(89-1)/2*1+1	45
80-(80*18+560)/40	30
	None
2*(5-1)	8
	None
250/((3/8)+(2/8))	400
(14+9-6)/(9-8)	17
(3701.2-1600)/6	350.2
16*5+9	89
	None
2700/(2700/50+6)	45
20/(4/5)	25
45/((3)/(3+1))	60
52/(0.6+0.7)	40
2.8*(1-(1/7))*(1-(1/4))	1.8
60/(104.5-84.5)	3
105/(1-(5/36)*3)	180
	None
(70+50)/40	3
30*2+16	76
	None
36/((3/7)*(7/10))	120
1.5*(9*9)	121.5
120/8+1	16
120*(1/4)/60	((1)/(2))
	None
55*(6/11)	30
16-1	15
	None
	None
	None
(257+268)*35	18375
(240-104)/8	17
(20-8)/3	4
14*36/63	8
15/30	0.5
140*6	840
85*3.6	306
8.19/1.3	6.3
	None
56-52	4
18+18*2	54
135/(8-5)	45
5-1	4
1470*((1)/(1+20))	70
35*10+20	370
273/3*(3+4)	637
(85-93*(4/5))/(1-(4/5))	53
132/2+132	198
22/((1/6)+(1/5))	60
1200*5/30/4	50
(225-24*5)/35	3
0.7+3.2	3.9
	None
(6+3)*28	252
(364-156)/8	26
	None
483-107+310	686
360/(3/5)	600
	None
65*(3/5)*(1/3)	13
(126+112)*6	1428
(80-30)/80	((5)/(8))
	None
1/((2/7)/4)	14
993-126	867
512/(1+2+5)	64
80*(3/4)/(2/5)	150
72/(1-(1/9))	81
(64+36)*99	9900
80+50*12	680
24/(3/4)*(3/8)	12
	None
597-50*11	47
96/6	16
	None
46+7+46	99
660*(3/10)*(1/3)	66
3/(1/4)	12
23.02-1.2	21.82
250*3-250	500
150*8-120*8	240
16/(1/4)	64
	None
(188-5*28)/3	16
10*10-(10-4)*(10-4)	64
	None
320-(92+145-37)	120
460+485-780	165
48/(1/3)/(1/6)	864
20/(2/5)-20	30
1/5	((1)/(5))
(1/2)+(7/10)+(1/2)	1((7)/(10))
170/(102/3)	5
	None
	None
	None
(192-16)/16	11
265-80	185
2275/7/5	65
300-(500-300*1)/5	260
(5/2)/(1/4)	10
150-150*0.85	22.5
600/30	20
90/(1+(4/5))	50
12*25+12*15	480
0.5*3-0.2-0.5	0.8
(8-3)/(3-2)+1	6
12/((3)/(3+2))	20
4/(1/6)	24
(6500-5200)/6500	20%
16*28+7	455
(85-70)*11	165
11.55/1.4	8.25
2/2	1
(470-230)/40-230/46	1
(7-5)*4/(7+5)	((2)/(3))
30/(3/5)/(4/5)	62((1)/(2))
336/21+2	18
(3000-750)/9	250
(56*28)/(56+8)	24.5
38*8+42*12	808
18*25*15	6750
189/3/7	9
74*11+26*12	1126
15*(1/2)/8	((15)/(16))
5*6*1.3	39
(12+16)*3	84
8*35+340	620
	None
1250*0.8*0.95	950
18-6	12
5*(40.62/4)	50.775
	None
12.6+2.8+12.6	28
1+(1/4)	((5)/(4))
	None
(52+38)*150	13500
240/(1-(1/15)*3)	300
34.5*(500/100)	172.5
20-(20-14)/(1/3)	2
(2.5*6+5)/2	10
(2/7)+(1/5)+(2/7)	((27)/(35))
30*5/(5-2)	50
564/8/1.5	47
24/(3/2)+24	40
2*4	8
900/(150-120)*(120+150)	8100
3.14*2*2	12.56
(413*22)-(87+125)	8874
1-(1/3)-(1-(1/3))*(4/5)	((2)/(15))
35/8	4.375
900*0.6	540
0.8*150/0.6	200
	None
	None
(32+46)-(100-43)	21
(100-20-20*1.2)/4	14
38+(15-10)	43
360/4*(3/5)	54
216/4	54
(36*2+36)-18	90
1-(5/17)-(3/11)	((81)/(187))
22*3	66
20/(60+20)	25%
2800+80*50	6800
791*9+81	7200
250*(1-(2/5))	150
90/2	45
5-32*5/40	1
(5-1)*8	32
(60-48)/4	3
56/(7/8)*(7/10)	44.8
(1/6)*3/(1/12)	6
40*(1+(1/4))*2	100
150*(2/5)+20	80
0.8/3/(9/20)*(3/2)/0.64*27.9	38.75
	None
11.7/2.6	4.5
3.6*5	18
840/8-52	53
280-132+145	293
60*28/84	20
6/(1-0.95)	120
(410-82)/4-37	45
	None
(500-20*5)/8	50
	None
4/(2/5)-4	6
(540+58*10)/(58-48)	112
(3000-5*100)/4	625
6*6	36
(500-1)*1	499
42/2	21
(8.4+4.9*3)/(3+4)	3.3
(3.14*2)*(3.14*2)	39.4384
	None
20/(1/4)*(3/4)	60
36/(1-(1/5))-36	9
(1-(3/4))/((3/4)/(1/2))	((1)/(6))
65*27-48*25	555
(5/6)/(1/12)	10
120*(1+40%+1)	288
2012-2*7*11*13	10
	None
	None
124-(47+53)	24
	None
19.2/(19.2/12+0.4)	9.6
(3/4)*6	4((1)/(2))
(38+39+38.5+36.5+36+37+35.5+39.5)/8	37.5
30-(21.5*0.6+11.4*1)	5.7
	None
	None
56*(3/7)/(2/5)	60
25/(5/9)	45
10/7	((10)/(7))
(5/24)*40	8((1)/(3))
72/(10-1)	8
(65+35)*125	12500
3.14*10	31.4
16*0.55	8.8
	None
	None
15-8.55-3.2	3.25
1680/0.7	2400
(22+28)/(1/4)	200
1-(1/12)-(5/12)	((1)/(2))
30-360/(360/30+6)	10
102/(3*2)	17
335-268+289	356
150*(7/10)/(3/4)	140
100*(1/4)	25
300/(1200*(1/3))	((3)/(4))
24*(1-(1/3))	16
100/20*1	5
720/9/5	16
	None
6/(1-0.95)	120
1000/(4000+1000)	20%
(4/5)/6	((2)/(15))
(2/5)/(1/(1/4)+1/(1/3))	((2)/(35))
34.20+15.80	50
(50+34)/0.6	140
(15+5)/(92-90)	10
6*3+1	19
120-(205-120)	35
(68+34)*15	1530
140*2+50+140	470
270/3-350/5	20
300/(5/6)	360
	None
	None
(12.5-10)/12.5	20%
15*12/9	20
24000-(24000-24000*(5/8))/(3/7)	3000
150/(1+(1/4))	120
8*28+12*20	464
	None
(270-90)/((5/8)-(2/5))	800
20-11-1	8
(110-14*3)/17	4
10.8*6/0.36	180
7.8-0.7-5.1	2
3300/(82+83)-15	5
180*(1/5)	36
21.5-(41.5-21.5)	1.5
45-12+19	52
1/((3/8)/(2/3))	1((7)/(9))
7/(7+3)	((7)/(10))
1850*(1-(1/4))/2/5	138((3)/(4))
364+287-396	255
20/(((3)/(3+4))-(1/3))	210
	None
37.5*0.4/0.3	50
	None
(40-8)/8	4
113-75	38
30/(((7)/(3+7))-(2/5))	100
160*(4/5)*(7/8)	112
14*(6/7)/(3/4)	16
240/8/3	10
	None
(30-18)/30	40%
(80.14-8.5)/12	5.97
798/(54-16)	21
1.8/2/3	0.3
800-(550-140)	390
96*58*75.9	422611.2
5-(0.12*2+2.15)	2.61
	None
(250/50)/(400/50)	((5)/(8))
	None
4/((2/5)*(2/5)*(2/5))	62.5
576/3/4	48
	None
5*4*20	400
100-((100-25)/(90))*100	16((2)/(3))
	None
48*(5/6)+48*(3/4)-48	28
38*25-280	670
(47+53)*7	700
(15+50)*880	57200
315/(12-9)	105
200/(120-70)	4
120/(1-(1/3))	180
12/(1.5/3)	24
	None
400*(3/8)*(4/5)	120
40*(2/5)	16
56/(3+1)*3	42
	None
1.2+0.05-0.15	1.1
480*15/12-480	120
8*7-9	47
75/((7/24)*4-1)	450
50*48/60	40
24/(3/8)	64
(48-24)/8	3
3*5*7+1	106
8/(60-59)*(60+59)	952
200-(165.25+25.85)	8.9
160*15/(15+3)	133((1)/(3))
3*(1/5)/(3/5)	1
(5/9)/(1/9)	5
	None
48*5	240
400/4	100
45*8/36	10
	None
40*(5/8)/(5/6)	30
1250/5/25	10
30*(1+(1/6))+30	65
980-35*12	560
60/((4/5)+(3/4)-1)	((1200)/(11))
	None
10/(5/2)	4
(5+1)*(5+1-1)/2	15
(4*3+4*2+3*2)*2	52
336/8	42
	None
6/2.5	2.4
600/4-80	70
(2+7)*(7-2+1)/2	27
(120-90)/120	25%
(75-25)*80	4000
1800*((2/5)+(9/20))	1530
360/(45+55)	3.6
2013.05*601+1550*201.305+201305*2.44	2013050
72*(7/8)*(5/7)	45
1692/(1+8)	188
(85*2+90*3+94)/6	89
	None
60/(4/5)*(1-(2/15))	65
6.6*3.2/0.6	35.2
74*3+12	234
(16+2)/((3)/(3+5))-16	32
(92-16)/4	19
(250-40)/(((3)/(1+3))-(1/8))	336
140/(1/56)	7840
	None
72/8	9
	None
95*3-99-90	96
	None
1.46*3-1.46	2.92
78/(2/3)	117
20/(4-1.5)*1.5	12
321*32+170	10442
	None
	None
400/(95+105)	2
440/(45+35)*50	275
(500-488)/500	2.4%
(78+69+55+64)/4	66.5
	None
126-24-24	78
46*3+15	153
200.9*191.2-2010*19.11	0.98
30*70/(30+5)	60
(3/20)-0.15	0
	None
13/(13+17)	((13)/(30))
(25+15)*3	120
(48/4-1)*1	11
8000*(1-(1/8))	7000
400*(3/40)	30
120*(3/5)+2	74
20/(20+80)	((1)/(5))
(26+22)/(1-(3/11))	66
75/(1-(1/4)-(1/4))*(1/4)	37.5
(50+25)*48	3600
260*(1-0.9)	26
500/(500+1500)	25%
	None
(26-1)*4	100
1-0.12+(1/2)+0.34+(1/3)-0.56+(1/5)-0.78	((137)/(150))
60/((1/3)+(1/2))*(1/3)	24
1200/(25-5)/1200	((1)/(20))
780*(2/5)	312
180*((2/3)+(1/2))-180	30
1-(4/7)	((3)/(7))
133.2/7.2*4.8	88.8
(26.8*12.5+7.5)/12.5	27.4
8*(1/2)	4
(1-(4/5))/1	20%
3200*(1-(3/8)-(2/5))	720
(7/8)*(4/5)*(1/2)	((7)/(20))
(30-25)/25	20%
64*1.5/(80-64)	6
(55*4+130)/(4+3)	50
40/(10/9)*(5/6)	30
280/70-210/70	1
	None
25.3*2.5+25.3	88.55
	None
324*8+5	2597
560*(3/8)*(1/7)	30
46*14-358	286
	None
(59-3)/8	7
(120+24)/(2/3)+120	336
270/9/3	10
125*78+253	10003
	None
90*20-500	1300
(600-15*20)/12	25
380/4	95
(330+120)/15	30
60*(1/3)*(1/5)	4
6/(3-1)*(9-1)	24
(35+7)/7	6
126/63	2
	None
(1000+600)/800	2
30*200*15	90000
35*24*48	40320
11*24/(24-16)	33
	None
900-181	719
(17-12.5)/(7-4)	1.5
70*4/5	56
60*8/(60-12)	10
250*(2/5)	100
(300-60)/3	80
(102-32*0.25)/47	2
660/(32+34)	10
(25+20)-(40-10)	15
9*9	81
60/5/6	2
540/3	180
25*8+30*8	440
15/(3/4)	20
25.7-1.76/0.8	23.5
12*32	384
(20-1.16)/6/3.14	1
38/50	76%
90*(7/15)-4/(8/17)	33.5
108*5+289	829
6/3	2
(3/4)*18-(3.5+0.48)	9.52
272/(20+14)	8
(8-1)*8/2	28
29.58/6.8	4.35
12*3*3	108
25*12/15	20
1.8*360/1.6	405
(30-20)/20	50%
136*3	408
140*((1)/(1+6))	20
(460-50*2)/6	60
1-(2/5)-(1/4)	((7)/(20))
240/(1+(1/7))	210
(50*20+50*2+20*2)*2-50*20	1280
5+1	6
267+233-398	102
45/9+3	8
369/0.9-369	41
3006+300.6+30.06+3.006	3339.666
9000/(1+10%-0.95)	60000
120/0.8	150
500+500	1000
65*3-(81+56)	58
130*(1-0.8)	26
(1-(1/4))/1	((3)/(4))
	None
140/(1-25%-(2/5))	400
(31+5.4)/(1-(3/10))	52
(1050-300)/(300/6)	15
	None
(98-89)/(87.31-87.13)	50
80/(5/6)+80	176
(1+2006)*2006/2	2013021
180*(2/9)*(4/5)	32
(50-3.6*8-6.8)/12	1.2
(5400-4800)/4800	12.5%
	None
3.14*2	6.28
12*68/16	51
(120+30)*32	4800
12.5-(13.5-12.5)/(6-2)*2	12
96/12	8
5/(1/2)	10
	None
1-(2/3)	((1)/(3))
	None
(20-10)/(5-3)*5+10	35
40*3/2	60
40*15/(40+10)	12
(11/18)+(5/18)	((8)/(9))
	None
25/(1-(1/6))-25	5
1507.2/(3.14*0.6*200)	4
12/(4-1)*(8-1)	28
0.5/0.025	20
	None
60/(3/4)*(3/5)	48
3.2*45/3.6	40
30*25/15	50
(36-4)/4	8
28*(4+1)	140
(54+54/(3/4))*3.5	441
0.8/(1.8-0.8)	80%
42-42*5/(5+2)	12
12/(1/4)*(5/6)	40
45*4*3	540
20/(5-1)*(10-1)	45
1200*(5/6)	1000
1-0.9	10%
(138+144)/6	47
5*4.8/4	6
(1/3)-(1/4)*(1/2)	((5)/(24))
	None
	None
14/(1-(2/5)-(1/4))	40
72*(2/3)/(4/9)	108
660/(1-30%-(2/5))	2200
840/(26+16)	20
(38-32)/38	((3)/(19))
(38+18)/8	7
0.75*12/(0.75-0.15)	15
250*2+30+250	780
2048/(384/3)	16
	None
(0.18+0.62)*8.5	6.8
1303/(32.5/5.2)	208.48
400/(5.5+4.5)	40
28000*(1/7)	4000
	None
435*7+5	3050
(2500-2460)/2500	1.6%
80*3	240
(18.4-3.8)-3.8	10.8
(4.6-1.2*1.5)/3.5	0.8
14*24*25/(28*30)	10
60/(6-1)*(12-6)	72
	None
14*1+6	20
70/10	7
288*(1/4)/(3/5)	120
(4/9)*45%-(1/7)	((2)/(35))
(48*4-172)/(4-3)	20
12-30/10	9
189/9	21
	None
85/(1-(2/19))-85	10
640/4*(4+3)	1120
53*35-1327	528
36*2-4	68
	None
700/(2800+700)	20%
(200+300)/(5/26)	2600
480/(8-2)	80
165*(1+(2/11))	195
15/(1-(3/7)-(3/7))	105
16*18/24	12
528/4/6	22
(120-12)/(4/5)	135
42*5	210
(9/10)*(1-(1/2))	((9)/(20))
1560/5	312
75*(1/3)-(1/2)*15	17.5
(42+40)*(1/2)	41
3.2*8	25.6
64/(((7)/(7+2))-(3/10)*2)	360
900/(61-1)	15
2450*(3/7)/(2/3)	1575
18/(1-(3/5))+18	63
400/(7-3)*3	300
(1200+120)/2	660
0.4*0.4*0.4/0.08	0.8
305-89+108	324
270/(1+(2/7))	210
56*24*2	2688
32*2*3	192
	None
15*36	540
42/(1-25%-(2/5))	120
(15+25)*17	680
1*(4/5)/(1/5)	4
50/((2/3)-((4)/(4+5)))	225
15/(105+15)	12.5%
180/(72/2)	5
(20/3)/4	((5)/(3))
	None
1500/(5*6)	50
	None
24/3	8
6*20/(6+2)	15
(5/8)+(7/12)-1	((5)/(24))
354+629	983
5*(6-1)	25
542+458	1000
	None
168/(4/9)-168	210
15*(2/5)	6
(80+52)/0.6	220
4.5*(1-(3/20))	3.825
(3.6+5.15)/(3+4)	1.25
359-196	163
300/(300/24+2.5)	20
810/3/45	6
	None
30*20*(10-8)	1200
(5+4+1-1)*2	18
4/(2/5)-4	6
45*3+10	145
96/0.8	120
(21.6+78.4)*15	1500
35*(4/5)/(7/8)	32
4/(2/5)*(3/10)	3
(18+42)*6.25	375
40+26	66
16/(1/6)	96
(4/7)+(1/7)+(4/7)	((9)/(7))
(76.5+93.5)*2.8	476
55*2.4/2	66
	None
12*3	36
60*5/75	4
